@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute handpos-1 {0,1,2,3,4,5}

@data
3846,'2017/02/21 02:14:00:717',7,-17.981606,-5.808441,2
3847,'2017/02/21 02:14:00:734',7,-18.053829,-5.844383,2
3848,'2017/02/21 02:14:00:750',7,-18.224693,-5.800362,2
3849,'2017/02/21 02:14:00:767',7,-18.329926,-5.716057,2
3850,'2017/02/21 02:14:00:784',7,-18.096397,-6.112648,2
3851,'2017/02/21 02:14:00:801',7,-17.535133,-6.606796,2
3852,'2017/02/21 02:14:00:818',7,-17.299927,-7.308571,2
3853,'2017/02/21 02:14:00:835',7,-18.685661,-8.164124,2
3854,'2017/02/21 02:14:00:851',7,-22.683754,-8.577538,2
3855,'2017/02/21 02:14:00:871',7,-26.119522,-8.07402,2
3945,'2017/02/21 02:16:29:763',8,-193.149078,22.797523,3
3946,'2017/02/21 02:16:29:779',8,-193.149078,22.797523,3
3947,'2017/02/21 02:16:29:796',8,-193.149078,22.797523,3
3948,'2017/02/21 02:16:29:813',8,-193.149078,22.797523,3
3949,'2017/02/21 02:16:29:832',8,-193.149078,22.797523,3
3950,'2017/02/21 02:16:29:846',8,-193.149078,22.797523,3
3951,'2017/02/21 02:16:29:863',8,-193.149078,22.797523,3
3952,'2017/02/21 02:16:29:880',8,-193.149078,22.797523,3
3953,'2017/02/21 02:16:29:897',8,-193.149078,22.797523,3
3954,'2017/02/21 02:16:29:913',8,-193.149078,22.797523,3
3955,'2017/02/21 02:16:29:931',8,-193.149078,22.797523,3
3956,'2017/02/21 02:16:29:963',8,-193.149078,22.797523,3
3957,'2017/02/21 02:16:29:983',8,-193.149078,22.797523,3
3958,'2017/02/21 02:16:29:995',8,-193.149078,22.797523,3
3959,'2017/02/21 02:16:30:064',8,-193.149078,22.797523,3
3960,'2017/02/21 02:16:30:064',8,-193.149078,22.797523,3
3961,'2017/02/21 02:16:30:094',8,-193.149078,22.797523,3
3962,'2017/02/21 02:16:30:101',8,-193.149078,22.797523,3
3963,'2017/02/21 02:16:30:112',8,-193.149078,22.797523,3
3964,'2017/02/21 02:16:30:129',8,-193.149078,22.797523,3
3965,'2017/02/21 02:16:30:145',8,-193.149078,22.797523,3
3966,'2017/02/21 02:16:30:162',8,-193.149078,22.797523,3
3967,'2017/02/21 02:16:30:179',8,-193.149078,22.797523,3
3968,'2017/02/21 02:16:30:196',8,-193.149078,22.797523,3
